test_name total_test_iteration time_per_op time_per_op_un size_per_op size_per_op_un allocs_per_op allocs_per_op_un flag1 flag2 exec_time num
BenchmarkHashMapGet 500000 2688 ns/op 257 B/op 5 allocs/op ok command-line-arguments 2.271s 1000
BenchmarkHashMapGet 500000 2608 ns/op 260 B/op 5 allocs/op ok command-line-arguments 2.239s 1000
BenchmarkHashMapGet 500000 2503 ns/op 261 B/op 5 allocs/op ok command-line-arguments 2.231s 1000
BenchmarkHashMapGet 500000 2627 ns/op 261 B/op 5 allocs/op ok command-line-arguments 2.312s 1000
BenchmarkHashMapGet 500000 2579 ns/op 262 B/op 5 allocs/op ok command-line-arguments 2.274s 1000
BenchmarkHashMapGet 500000 2564 ns/op 262 B/op 5 allocs/op ok command-line-arguments 2.230s 1000
BenchmarkHashMapGet 500000 2680 ns/op 263 B/op 5 allocs/op ok command-line-arguments 2.315s 1000
BenchmarkHashMapGet 500000 2666 ns/op 261 B/op 5 allocs/op ok command-line-arguments 2.347s 1000
BenchmarkHashMapGet 500000 2673 ns/op 268 B/op 6 allocs/op ok command-line-arguments 2.389s 10000
BenchmarkHashMapGet 500000 2623 ns/op 263 B/op 6 allocs/op ok command-line-arguments 2.323s 10000
BenchmarkHashMapGet 500000 2639 ns/op 269 B/op 6 allocs/op ok command-line-arguments 2.326s 10000
BenchmarkHashMapGet 500000 2648 ns/op 265 B/op 6 allocs/op ok command-line-arguments 2.354s 10000
BenchmarkHashMapGet 500000 2520 ns/op 265 B/op 6 allocs/op ok command-line-arguments 2.284s 10000
BenchmarkHashMapGet 500000 2728 ns/op 272 B/op 6 allocs/op ok command-line-arguments 2.366s 10000
BenchmarkHashMapGet 500000 2612 ns/op 268 B/op 6 allocs/op ok command-line-arguments 2.326s 10000
BenchmarkHashMapGet 500000 2673 ns/op 273 B/op 6 allocs/op ok command-line-arguments 2.344s 10000
BenchmarkHashMapGet 500000 2712 ns/op 265 B/op 6 allocs/op ok command-line-arguments 2.342s 10000
BenchmarkHashMapGet 500000 2607 ns/op 267 B/op 6 allocs/op ok command-line-arguments 2.314s 10000
BenchmarkHashMapGet 500000 2711 ns/op 268 B/op 6 allocs/op ok command-line-arguments 2.397s 10000
BenchmarkHashMapGet 500000 2690 ns/op 271 B/op 6 allocs/op ok command-line-arguments 2.331s 10000
BenchmarkHashMapGet 500000 2568 ns/op 265 B/op 6 allocs/op ok command-line-arguments 2.300s 10000
BenchmarkHashMapGet 500000 2619 ns/op 272 B/op 6 allocs/op ok command-line-arguments 2.292s 10000
BenchmarkHashMapGet 500000 2525 ns/op 264 B/op 6 allocs/op ok command-line-arguments 2.268s 10000
BenchmarkHashMapGet 500000 2660 ns/op 263 B/op 6 allocs/op ok command-line-arguments 2.358s 10000
BenchmarkHashMapGet 500000 2598 ns/op 264 B/op 6 allocs/op ok command-line-arguments 2.276s 10000
BenchmarkHashMapGet 500000 2811 ns/op 269 B/op 6 allocs/op ok command-line-arguments 2.438s 10000
BenchmarkHashMapGet 500000 2658 ns/op 268 B/op 6 allocs/op ok command-line-arguments 2.333s 10000
BenchmarkHashMapGet 500000 2592 ns/op 273 B/op 6 allocs/op ok command-line-arguments 2.278s 10000
BenchmarkHashMapGet 500000 2637 ns/op 263 B/op 6 allocs/op ok command-line-arguments 2.303s 10000
BenchmarkHashMapGet 500000 2688 ns/op 275 B/op 6 allocs/op ok command-line-arguments 2.374s 10000
BenchmarkHashMapGet 500000 2614 ns/op 268 B/op 6 allocs/op ok command-line-arguments 2.300s 10000
BenchmarkHashMapGet 500000 2758 ns/op 270 B/op 6 allocs/op ok command-line-arguments 2.371s 10000
BenchmarkHashMapGet 500000 2775 ns/op 267 B/op 6 allocs/op ok command-line-arguments 2.407s 10000
BenchmarkHashMapGet 500000 2751 ns/op 265 B/op 6 allocs/op ok command-line-arguments 2.398s 10000
BenchmarkHashMapGet 500000 2676 ns/op 266 B/op 6 allocs/op ok command-line-arguments 2.338s 10000
BenchmarkHashMapGet 500000 2757 ns/op 265 B/op 6 allocs/op ok command-line-arguments 2.444s 10000
BenchmarkHashMapGet 500000 2651 ns/op 263 B/op 6 allocs/op ok command-line-arguments 2.376s 10000
BenchmarkHashMapGet 500000 2667 ns/op 263 B/op 6 allocs/op ok command-line-arguments 2.377s 10000
BenchmarkHashMapGet 500000 2641 ns/op 270 B/op 6 allocs/op ok command-line-arguments 2.315s 10000
BenchmarkHashMapGet 500000 2658 ns/op 269 B/op 6 allocs/op ok command-line-arguments 2.106s 10000
BenchmarkHashMapGet 500000 2630 ns/op 263 B/op 6 allocs/op ok command-line-arguments 2.324s 10000
BenchmarkHashMapGet 500000 2643 ns/op 266 B/op 6 allocs/op ok command-line-arguments 2.349s 10000
BenchmarkHashMapGet 500000 2599 ns/op 270 B/op 6 allocs/op ok command-line-arguments 2.303s 10000
BenchmarkHashMapGet 500000 2616 ns/op 267 B/op 6 allocs/op ok command-line-arguments 2.311s 10000
BenchmarkHashMapGet 500000 2615 ns/op 271 B/op 6 allocs/op ok command-line-arguments 2.312s 10000
BenchmarkHashMapGet 500000 2620 ns/op 266 B/op 6 allocs/op ok command-line-arguments 2.273s 10000
BenchmarkHashMapGet 500000 2656 ns/op 269 B/op 6 allocs/op ok command-line-arguments 2.321s 10000
BenchmarkHashMapGet 500000 2628 ns/op 268 B/op 6 allocs/op ok command-line-arguments 2.328s 10000
